timestamp,ax,ay,az,gx,gy,gz,label
1789897951.7891588,7994,-6412,11994,-2004,65,510,wave
1789897951.799941,6962,-8342,11180,-1942,145,488,wave
1789897951.8100019,6306,-9904,10410,-1817,157,433,wave
1789897951.8200934,5770,-10888,10004,-1659,132,403,wave
1789897951.8289416,5498,-11604,9530,-1497,77,405,wave
1789897951.8389554,5274,-12306,9316,-1347,29,402,wave
1789897951.850019,5258,-13584,8696,-1206,-13,395,wave
1789897951.8600729,5182,-14774,8040,-1015,-32,364,wave
1789897951.8692462,5072,-15706,7716,-781,-34,298,wave
1789897951.8789496,4872,-16436,7350,-517,-17,220,wave
1789897951.890313,4410,-16694,7198,-238,13,135,wave
1789897951.8998897,3954,-16566,7262,51,34,55,wave
1789897951.9100556,3696,-15936,7540,348,14,-2,wave
1789897951.9201803,3830,-14904,7942,623,-39,-49,wave
1789897951.9292333,3898,-14112,8132,854,-106,-55,wave
1789897951.9400191,3844,-13360,8330,1064,-154,-90,wave
1789897951.950145,4302,-12334,8606,1274,-216,-143,wave
1789897951.9600284,5368,-10716,9254,1468,-278,-206,wave
1789897951.970131,6558,-8816,10084,1622,-283,-300,wave
1789897951.9802043,7648,-7156,10790,1704,-225,-407,wave
1789897951.9901311,7936,-6524,11342,1740,-110,-449,wave
1789897952.0004072,7768,-6156,11566,1797,2,-491,wave
1789897952.00897,8046,-5550,11798,1919,89,-553,wave
1789897952.0200167,8248,-4238,12524,2080,191,-633,wave
1789897952.0301023,8506,-2502,13472,2250,287,-703,wave
1789897952.0391917,9160,-172,14536,2407,372,-765,wave
1789897952.0491986,9866,3248,16114,2519,495,-857,wave
1789897952.0599873,10242,6724,17852,2519,669,-935,wave
1789897952.0700736,10036,8782,19528,2412,854,-909,wave
1789897952.0802095,10542,10406,21044,2233,964,-879,wave
1789897952.0901022,9538,11896,22264,2028,1043,-658,wave
1789897952.0999632,8742,14142,23564,1795,998,-401,wave
1789897952.110077,8656,14954,24200,1477,864,-164,wave
1789897952.1201005,8414,15070,24786,1155,747,43,wave
1789897952.1303844,8194,16050,25590,865,645,183,wave
1789897952.1402786,7808,16536,25888,537,551,264,wave
1789897952.1501691,7458,15980,25574,168,471,269,wave
1789897952.1591241,6890,14826,24928,-169,400,218,wave
1789897952.1690574,6312,14196,24452,-467,330,156,wave
1789897952.1791472,5948,13540,23760,-764,230,135,wave
1789897952.1889694,6296,12270,22834,-1081,93,133,wave
1789897952.1999316,6602,10808,21836,-1368,-11,153,wave
1789897952.2091331,6430,9552,20826,-1591,-94,224,wave
1789897952.2201066,6696,8640,20020,-1790,-197,278,wave
1789897952.23002,6984,7416,18998,-1988,-288,340,wave
1789897952.2401187,6890,5858,18090,-2176,-345,418,wave
1789897952.250026,6908,4234,16810,-2331,-390,494,wave
1789897952.2600996,6556,2578,15902,-2454,-405,564,wave
1789897952.2700038,6452,1264,15116,-2550,-431,595,wave
1789897952.2800808,6236,-272,14160,-2622,-454,594,wave
1789897952.290185,5540,-2122,13114,-2674,-480,600,wave
1789897952.3001835,4810,-3912,12292,-2683,-542,580,wave
1789897952.3102193,4658,-5748,11288,-2666,-653,512,wave
1789897952.3200867,5602,-7894,10040,-2629,-752,426,wave
1789897952.3301644,6462,-10128,9098,-2546,-741,374,wave
1789897952.3401005,6694,-12212,8156,-2394,-645,326,wave
1789897952.3501976,6772,-13942,7558,-2189,-546,267,wave
1789897952.3600748,6682,-15486,6860,-1959,-455,230,wave
1789897952.3701599,6222,-16710,6126,-1690,-344,183,wave
1789897952.3800955,5678,-17660,5622,-1401,-248,125,wave
1789897952.3899744,4786,-18708,5238,-1086,-184,61,wave
1789897952.4000628,3878,-19652,4904,-746,-159,-41,wave
1789897952.4102294,3542,-19786,5118,-356,-172,-168,wave
1789897952.4192939,3502,-19154,5440,53,-190,-304,wave
1789897952.4299772,3312,-18158,6026,435,-218,-374,wave
1789897952.4400487,3684,-17210,6368,765,-287,-405,wave
1789897952.450176,4282,-16160,6880,1067,-351,-448,wave
1789897952.4600754,4636,-14700,7506,1362,-386,-484,wave
1789897952.470158,5390,-12650,8266,1622,-406,-585,wave
1789897952.4800763,6234,-10884,8944,1826,-384,-711,wave
1789897952.4899483,7130,-9130,9720,1997,-315,-850,wave
1789897952.5000727,7924,-7316,10456,2138,-222,-979,wave
1789897952.5101333,8808,-5006,11460,2238,-98,-1096,wave
1789897952.5200384,9292,-3132,12504,2286,48,-1145,wave
1789897952.5301607,9212,-1662,13400,2301,193,-1153,wave
1789897952.5400398,8758,-164,14432,2300,326,-1162,wave
1789897952.5501125,8558,1168,15098,2284,392,-1126,wave
1789897952.560051,8584,2722,16070,2280,401,-1069,wave
1789897952.5690312,8766,7072,18298,2161,369,-941,wave
1789897952.578955,8628,9764,19884,1986,340,-917,wave
1789897952.590093,8820,10706,20898,1720,267,-810,wave
1789897952.6000063,8430,11600,21924,1476,181,-599,wave
1789897952.6091912,8492,13428,23148,1254,-1,-405,wave
1789897952.62,9852,15480,24534,968,-259,-247,wave
1789897952.6301312,12620,16838,25552,570,-479,-128,wave
1789897952.6400006,14530,17390,26280,122,-514,-73,wave
1789897952.6501,15004,15902,25850,-356,-405,14,wave
1789897952.6602204,14358,13592,24688,-757,-254,115,wave
1789897952.6702874,13456,11680,23518,-1028,-156,236,wave
1789897952.680194,12974,10288,22316,-1215,-139,402,wave
1789897952.690111,11880,9478,21278,-1367,-86,545,wave
1789897952.699073,10244,9018,20484,-1502,-6,643,wave
1789897952.710478,8998,8012,19602,-1646,30,696,wave
1789897952.72033,7936,7308,18768,-1775,36,715,wave
1789897952.730218,7262,6416,17818,-1913,11,734,wave
1789897952.738963,7380,4556,16808,-2068,-39,768,wave
1789897952.7490788,7818,2124,15590,-2186,-62,801,wave
1789897952.7602878,7782,548,14706,-2211,-53,847,wave
1789897952.7691643,7590,-122,14182,-2201,-49,847,wave
1789897952.7799942,7110,-1546,13348,-2216,-50,878,wave
1789897952.7900655,6408,-3160,12538,-2213,-37,910,wave
1789897952.7999861,5602,-4508,11890,-2175,-49,914,wave
1789897952.8100672,5326,-5860,11166,-2123,-113,888,wave
1789897952.8201644,5558,-7558,10362,-2071,-205,861,wave
1789897952.8300416,6006,-9298,9684,-1993,-283,841,wave
1789897952.8401654,6400,-10900,9088,-1874,-332,832,wave
1789897952.8500538,6698,-12222,8548,-1720,-338,808,wave
1789897952.8601556,7018,-13774,7978,-1549,-293,734,wave
1789897952.8700476,6882,-15134,7322,-1346,-183,626,wave
1789897952.8799672,6636,-16070,6788,-1113,-52,494,wave
1789897952.890195,6012,-16866,6248,-871,76,368,wave
1789897952.8989737,5374,-17678,5740,-633,172,225,wave
1789897952.9092002,4516,-18254,5416,-378,237,105,wave
1789897952.9203181,3862,-18888,5256,-112,252,-4,wave
1789897952.9291794,3650,-18984,5070,182,209,-101,wave
1789897952.939174,3618,-18786,5044,495,132,-169,wave
1789897952.9503405,3692,-18174,5140,797,47,-227,wave
1789897952.9600973,4158,-17384,5468,1090,-43,-273,wave
1789897952.970207,4654,-16650,5780,1376,-114,-315,wave
1789897952.9801545,5296,-15498,6084,1663,-158,-379,wave
1789897952.990187,5976,-14036,6674,1937,-164,-461,wave
1789897953.0001135,6574,-12382,6934,2175,-134,-562,wave
1789897953.0100229,6798,-10976,7448,2396,-49,-685,wave
1789897953.020414,6770,-9414,7906,2610,64,-847,wave
1789897953.03002,7220,-7006,8818,2840,191,-1071,wave
1789897953.0401096,7476,-4156,10008,3044,339,-1294,wave
1789897953.0502083,7600,-1682,11056,3184,505,-1480,wave
1789897953.0592494,7536,634,12184,3286,672,-1604,wave
1789897953.0699964,7910,3468,13896,3376,796,-1700,wave
1789897953.0800781,8690,7066,15896,3404,895,-1783,wave
1789897953.090198,9440,10638,17942,3344,998,-1783,wave
1789897953.1002493,8982,15032,20608,3199,1121,-1646,wave
1789897953.110174,6916,18908,22924,2886,1100,-1285,wave
1789897953.1200576,5042,20752,24304,2401,825,-821,wave
1789897953.1299725,5168,21000,25050,1793,379,-483,wave
1789897953.140078,6600,19688,25020,1227,-80,-247,wave
1789897953.149995,7984,18620,24900,805,-342,-144,wave
1789897953.1600547,8678,18098,24874,489,-393,-141,wave
1789897953.169955,9128,18254,25006,207,-344,-193,wave
1789897953.1800587,8930,18966,25048,-99,-304,-216,wave
1789897953.1901493,8820,18736,24824,-488,-377,-130,wave
1789897953.2000382,9406,16968,23678,-902,-539,123,wave
1789897953.2101505,8870,15244,22222,-1235,-651,397,wave
1789897953.2201998,8398,14090,21166,-1510,-785,702,wave
1789897953.2301266,7944,12366,20040,-1793,-933,993,wave
1789897953.2404673,7800,10184,18666,-2066,-1044,1173,wave
1789897953.2503226,7770,8164,17244,-2279,-1094,1260,wave
1789897953.2602353,7594,6368,16226,-2422,-1092,1272,wave
1789897953.270326,8040,4742,15158,-2521,-1078,1219,wave
1789897953.280256,8614,3182,14306,-2589,-1025,1129,wave
