timestamp,ax,ay,az,gx,gy,gz,label
1790002819.1758337,780,4141,3322,-306,-3116,-2426,shake
1790002819.1859682,1972,4089,3031,-274,-3400,-2192,shake
1790002819.1958687,3027,4010,2950,-477,-3134,-2230,shake
1790002819.2059312,3657,3876,3277,-718,-2430,-2452,shake
1790002819.2158825,3744,3541,3212,-897,-1618,-2465,shake
1790002819.2259643,3367,3013,3546,-1016,-834,-2463,shake
1790002819.2358203,3326,2506,3443,-1006,-394,-2423,shake
1790002819.2449327,2997,2095,3205,-958,-15,-2261,shake
1790002819.2549276,2109,1656,3079,-934,273,-2021,shake
1790002819.264964,1624,1579,3298,-917,245,-1962,shake
1790002819.2747064,1172,1219,3300,-901,-92,-1852,shake
1790002819.2857318,1975,1396,3673,-872,-495,-2143,shake
1790002819.295807,2187,2113,3535,-773,-339,-2183,shake
1790002819.3060467,1439,2036,4213,-840,84,-1899,shake
1790002819.3147182,1295,2631,4229,-977,234,-2313,shake
1790002819.3257186,1051,2840,4852,-1173,267,-2296,shake
1790002819.33579,1222,2705,4465,-1434,195,-1732,shake
1790002819.3457298,1078,2028,4146,-1830,306,-1342,shake
1790002819.3557963,1667,1442,3740,-2163,235,-1095,shake
1790002819.365841,2017,917,3346,-2291,411,-797,shake
1790002819.3761683,1720,920,3204,-2251,974,-573,shake
1790002819.385003,773,1572,3262,-2125,1642,-327,shake
1790002819.394983,-700,2114,3255,-2025,2079,105,shake
1790002819.4056866,-2251,2602,2794,-1983,2068,472,shake
1790002819.4157887,-3841,3242,2981,-2012,1727,624,shake
1790002819.425708,-5675,4210,3533,-2151,1270,374,shake
1790002819.4347863,-6879,4285,3610,-2177,354,473,shake
1790002819.4447434,-6987,4541,3398,-2109,-766,94,shake
1790002819.4559994,-6050,5076,4059,-2101,-1974,-174,shake
1790002819.4659097,-4567,4621,3517,-2680,-3116,-366,shake
1790002819.4759982,-3429,3839,2744,-3604,-3764,-740,shake
1790002819.4860847,-2144,2849,2658,-4138,-4335,-1096,shake
1790002819.4959762,-675,1879,2215,-4510,-4794,-1593,shake
1790002819.5058832,732,1150,2735,-4586,-5085,-1926,shake
1790002819.5159695,2823,207,2432,-4656,-5309,-2218,shake
1790002819.5260684,5002,-795,2243,-4555,-5204,-2491,shake
1790002819.5361578,7098,-1978,1471,-4349,-4561,-2924,shake
1790002819.546069,8772,-3813,1632,-3845,-3526,-2590,shake
1790002819.556161,11238,-6115,608,-2781,-2490,-1951,shake
1790002819.5660605,10749,-6303,112,-1246,-325,-1312,shake
1790002819.5747395,8771,-5169,1488,101,2042,-698,shake
1790002819.5862262,6694,-4642,318,1187,3828,149,shake
1790002819.5957723,4940,-2390,2434,2209,5738,-280,shake
1790002819.6048558,4431,-1099,2904,3192,7331,-79,shake
1790002819.6157165,682,-495,344,4310,8980,888,shake
1790002819.6262307,-923,1132,1090,4832,9187,586,shake
1790002819.6348147,-2699,4821,1892,5016,9252,814,shake
1790002819.6458693,-7567,3436,3739,3868,8778,2190,shake
1790002819.6557734,-8749,4873,4449,3867,5369,2573,shake
1790002819.665937,-10006,6116,4566,3394,1889,2332,shake
1790002819.6759841,-10875,7433,4744,1934,-848,2135,shake
1790002819.6858673,-8239,7044,3515,-481,-2699,804,shake
1790002819.6960196,-6203,4915,4528,-2305,-2857,-343,shake
1790002819.7061014,-3454,4066,4416,-2934,-3238,-990,shake
1790002819.7161682,-3410,3480,4721,-3198,-3092,-1186,shake
1790002819.7260718,-4075,2736,4862,-3637,-3611,-1146,shake
1790002819.735993,-2730,2690,4370,-3958,-5343,-751,shake
1790002819.746101,-333,1612,2357,-4867,-6523,-1182,shake
1790002819.756013,1018,-439,1712,-5552,-6264,-1733,shake
1790002819.7661471,4146,-2927,1247,-5351,-6002,-2469,shake
1790002819.7762144,8864,-4993,-247,-4066,-5568,-2531,shake
1790002819.786275,11764,-6609,-969,-2504,-3595,-2186,shake
1790002819.7960014,10752,-6604,-840,-922,-326,-946,shake
1790002819.8058524,7739,-5108,199,653,2906,193,shake
1790002819.8148725,4887,-2783,1481,2042,5315,488,shake
1790002819.8250291,3204,-1061,2313,3049,6820,879,shake
1790002819.836119,1746,165,2661,3761,7840,1443,shake
1790002819.846072,160,1360,2404,4229,8609,1822,shake
1790002819.8557925,-3097,2201,2164,4541,9267,1931,shake
1790002819.8659008,-7232,4237,3176,4750,8931,1803,shake
1790002819.875997,-10196,5479,4514,4262,6761,1759,shake
1790002819.8859143,-11127,6965,5398,3071,3432,1271,shake
1790002819.8949656,-10063,7106,5587,1117,195,785,shake
1790002819.9049544,-8022,6068,5225,-892,-1997,28,shake
1790002819.9160306,-4958,3984,4527,-3098,-4413,-603,shake
1790002819.926116,-4796,3206,3547,-3755,-5171,-674,shake
1790002819.93598,-3141,2149,3089,-4228,-6114,-876,shake
1790002819.9461312,-1816,1584,3219,-4513,-6740,-1400,shake
1790002819.955794,422,794,2690,-4819,-7167,-1776,shake
1790002819.9660888,2427,-992,2155,-4928,-6960,-2261,shake
1790002819.9762301,5037,-2492,1747,-4422,-6382,-2933,shake
1790002819.9860928,7644,-3640,1063,-3528,-5170,-3429,shake
1790002819.9960291,9669,-5069,409,-2313,-3146,-2998,shake
1790002820.0059125,10057,-5877,-91,-844,-696,-1873,shake
1790002820.0149424,8356,-5335,-181,695,1849,-625,shake
1790002820.0262299,6105,-4442,192,2041,4103,148,shake
1790002820.0359542,4934,-3104,472,3145,5646,204,shake
1790002820.0462196,3769,-2028,329,4098,7030,628,shake
1790002820.0549772,2099,-1174,337,4937,8354,1189,shake
1790002820.0660348,330,415,1057,5960,9162,1440,shake
1790002820.0758033,-2427,2373,1209,6766,9363,1962,shake
1790002820.085874,-8592,4405,2883,7250,8348,3085,shake
1790002820.0960097,-10592,8055,2797,5988,4921,1963,shake
1790002820.1059246,-13745,8975,4116,2942,1943,1358,shake
1790002820.1159887,-13387,9342,5483,-213,-1188,489,shake
1790002820.1261039,-11741,7778,6217,-2374,-3640,-377,shake
