timestamp,ax,ay,az,gx,gy,gz,label
1790088174.4997737,746,491,4503,1,-10,-155,circle
1790088174.5095105,810,459,4540,-2,9,-93,circle
1790088174.519785,823,441,4573,-16,31,-75,circle
1790088174.5296662,746,375,4570,-38,51,-68,circle
1790088174.5398314,643,362,4539,-9,55,-90,circle
1790088174.5499089,632,468,4566,13,52,-112,circle
1790088174.559753,692,614,4609,18,49,-87,circle
1790088174.56964,698,612,4614,4,74,22,circle
1790088174.5796485,657,621,4667,-5,103,82,circle
1790088174.5900824,634,645,4675,-23,119,104,circle
1790088174.5999184,621,508,4732,-29,136,98,circle
1790088174.6094906,650,495,4703,7,150,41,circle
1790088174.6199648,645,615,4748,48,164,-18,circle
1790088174.629685,745,755,4727,80,173,-88,circle
1790088174.640137,853,884,4723,105,189,-126,circle
1790088174.650073,902,1143,4672,108,210,-169,circle
1790088174.6601949,961,1265,4612,74,203,-196,circle
1790088174.670313,1003,1541,4505,30,202,-216,circle
1790088174.6802897,996,1684,4369,-39,200,-241,circle
1790088174.6904354,1002,1744,4307,-125,184,-295,circle
1790088174.7003524,917,1881,4168,-208,176,-331,circle
1790088174.7104504,834,1936,3992,-313,165,-359,circle
1790088174.7203782,748,1790,3829,-447,140,-365,circle
1790088174.7302175,582,1605,3661,-555,121,-345,circle
1790088174.7403045,504,1365,3477,-631,73,-359,circle
1790088174.750395,546,1178,3337,-663,-11,-403,circle
1790088174.7601204,498,874,3355,-660,-113,-328,circle
1790088174.7704635,611,670,3319,-622,-200,-290,circle
1790088174.7803643,766,560,3394,-587,-286,-300,circle
1790088174.7903705,855,459,3449,-558,-361,-253,circle
1790088174.8002563,1019,279,3465,-509,-404,-171,circle
1790088174.8101668,1010,271,3448,-463,-420,-169,circle
1790088174.8201213,903,187,3395,-447,-468,-185,circle
1790088174.8303936,956,-20,3359,-417,-536,-183,circle
1790088174.8393023,1026,-140,3356,-361,-605,-129,circle
1790088174.8503914,948,-321,3320,-319,-662,-18,circle
1790088174.8602774,948,-421,3311,-266,-735,49,circle
1790088174.8703556,914,-637,3251,-197,-780,124,circle
1790088174.8800654,851,-665,3292,-80,-806,166,circle
1790088174.8899765,778,-544,3306,75,-848,242,circle
1790088174.9002059,941,-447,3212,193,-901,345,circle
1790088174.910138,617,-517,3361,320,-934,647,circle
1790088174.9200995,861,-545,3154,478,-1061,705,circle
1790088174.9301288,667,-688,3190,585,-968,434,circle
1790088174.9402003,785,-719,3256,695,-1059,91,circle
1790088174.950357,924,-631,3506,769,-1131,-213,circle
1790088174.9604247,905,-352,3587,812,-1161,-282,circle
1790088174.9702935,915,-365,3730,769,-1193,-307,circle
1790088174.979104,1128,-263,4044,725,-1238,-412,circle
1790088174.9903042,1790,-76,4371,654,-1255,-225,circle
1790088175.0003536,1526,-395,4413,614,-1032,537,circle
1790088175.010221,1705,-668,4750,557,-1018,863,circle
1790088175.0202506,2061,-238,4601,583,-1209,735,circle
1790088175.030151,2261,-369,4803,367,-1080,582,circle
1790088175.0403109,1846,-646,5083,375,-911,568,circle
1790088175.0503314,2100,-621,5140,450,-926,268,circle
1790088175.060234,2098,-1099,5361,531,-817,157,circle
1790088175.0693393,2473,-1155,5701,639,-666,-256,circle
1790088175.0802882,2944,-830,5935,636,-418,-581,circle
1790088175.0899913,2620,-881,5824,383,43,-530,circle
1790088175.1002228,1723,-880,5429,246,406,-323,circle
1790088175.110307,599,-614,5214,161,561,-548,circle
1790088175.120245,244,-618,5275,115,343,-934,circle
1790088175.1303284,-261,-479,5348,102,137,-1429,circle
1790088175.140586,837,-425,5494,282,-223,-1512,circle
1790088175.1501353,998,97,5569,814,-202,-997,circle
1790088175.1604228,1263,502,5649,1144,-59,-672,circle
1790088175.1701348,1201,877,5787,1185,129,-460,circle
1790088175.1805038,1223,1057,5693,1049,218,-208,circle
1790088175.1903172,1168,1264,5666,951,297,-82,circle
1790088175.2003505,1115,1606,5550,939,331,-118,circle
1790088175.2103393,1208,2092,5617,928,273,-247,circle
1790088175.2203772,1307,2371,5535,907,248,-28,circle
1790088175.2301261,1334,1799,5503,817,322,389,circle
1790088175.2402651,1152,1352,5332,858,387,574,circle
1790088175.250308,1112,1197,5218,987,443,372,circle
1790088175.2602582,1190,1253,4901,1071,548,67,circle
1790088175.2703218,1069,1542,4953,791,895,-606,circle
1790088175.2804697,798,1050,5116,355,1044,-507,circle
1790088175.2901723,1076,1704,4558,611,703,-281,circle
1790088175.3004735,960,2495,4490,1091,503,-175,circle
1790088175.310319,1559,3236,4562,946,276,-363,circle
1790088175.3202007,1672,3254,4841,520,217,-184,circle
1790088175.3302739,1922,3455,4942,173,132,105,circle
1790088175.3402393,2493,2949,5145,-244,36,388,circle
1790088175.3503108,1736,3447,5221,-441,205,657,circle
1790088175.3604035,2108,3570,4897,-662,210,872,circle
1790088175.3702874,1948,3566,4772,-770,415,930,circle
1790088175.3804424,1834,3423,4686,-943,542,887,circle
1790088175.3903706,1790,3150,4664,-1108,603,748,circle
1790088175.4004538,1771,2997,4659,-1205,670,573,circle
1790088175.4104905,1716,2860,4624,-1277,760,436,circle
1790088175.4202433,1714,2761,4513,-1339,840,370,circle
1790088175.4305432,1654,2528,4380,-1402,913,373,circle
1790088175.4403574,1520,2532,4244,-1387,950,359,circle
1790088175.450493,1494,2431,4153,-1343,926,373,circle
1790088175.4603488,1312,2108,4103,-1295,880,452,circle
1790088175.4705331,1439,2135,4074,-1247,775,288,circle
1790088175.4803004,1752,2017,4122,-1238,674,87,circle
1790088175.4904299,1934,2053,4174,-1216,657,-42,circle
1790088175.5003016,2042,2169,4088,-1196,664,-98,circle
1790088175.5103264,2024,2125,3942,-1169,730,-26,circle
1790088175.5203116,1970,1979,3678,-1155,808,42,circle
1790088175.5303931,1806,1734,3372,-1127,878,115,circle
1790088175.5403469,1698,1420,3124,-1088,895,128,circle
1790088175.550296,1691,1211,2926,-1023,863,50,circle
1790088175.5603616,1706,1146,2791,-950,821,-36,circle
1790088175.5704315,1610,985,2850,-926,767,-208,circle
1790088175.5804572,1377,1029,2843,-935,725,-584,circle
1790088175.5904403,837,931,2697,-1017,665,-1087,circle
1790088175.599079,1062,749,2809,-1269,466,-1690,circle
1790088175.610426,811,700,2760,-1254,417,-1707,circle
1790088175.620512,532,589,2716,-1229,351,-1681,circle
1790088175.630461,663,573,2781,-1367,223,-1859,circle
1790088175.640507,636,309,2901,-1496,206,-1597,circle
1790088175.649361,615,-154,3063,-1496,264,-1132,circle
1790088175.6603305,164,-490,3238,-1088,408,-194,circle
1790088175.6700568,120,-913,3302,-961,320,88,circle
1790088175.6803572,254,-1155,3341,-800,228,215,circle
1790088175.690409,200,-1321,3574,-592,203,345,circle
1790088175.7001143,210,-1428,3738,-474,136,350,circle
1790088175.7103405,246,-1535,3857,-440,53,272,circle
1790088175.7203968,285,-1538,3950,-409,-12,199,circle
1790088175.7304707,295,-1529,4054,-362,-56,145,circle
1790088175.7403882,311,-1492,4077,-300,-85,122,circle
1790088175.7504814,279,-1417,4123,-229,-95,114,circle
1790088175.760122,274,-1423,4165,-165,-116,84,circle
1790088175.7703116,263,-1425,4203,-88,-128,63,circle
1790088175.7801096,284,-1392,4283,-8,-141,35,circle
1790088175.790303,312,-1261,4316,66,-150,53,circle
1790088175.8003907,339,-1140,4379,112,-148,108,circle
1790088175.8104367,375,-1022,4418,140,-147,179,circle
1790088175.8203187,436,-896,4445,172,-136,299,circle
1790088175.8303452,381,-902,4509,198,-119,407,circle
1790088175.840323,506,-473,4608,227,-108,407,circle
1790088175.8503206,353,-576,4589,225,-52,535,circle
1790088175.86009,504,-420,4625,211,-96,511,circle
1790088175.8701231,553,-218,4712,191,-109,457,circle
1790088175.8800855,619,-83,4802,162,-112,457,circle
1790088175.889997,740,21,4779,108,-97,425,circle
1790088175.89977,687,3,4832,55,-70,350,circle
1790088175.909856,744,86,4854,40,-64,280,circle
1790088175.9199817,737,124,4844,14,-32,213,circle
1790088175.9300373,746,108,4830,-28,-10,138,circle
1790088175.9398906,741,164,4781,-63,14,81,circle
1790088175.9496195,793,185,4743,-99,33,21,circle
1790088175.9601216,1004,73,4714,-155,-13,83,circle
1790088175.9698195,515,-7,4570,-84,104,219,circle
1790088175.9799662,650,-176,4467,-105,84,122,circle
1790088175.989728,587,-83,4488,-9,92,-24,circle
1790088175.9997082,533,-85,4481,87,92,-21,circle
1790088176.0097902,638,-28,4497,113,62,-39,circle
1790088176.0196865,592,-72,4437,117,76,68,circle
1790088176.0300195,476,-151,4368,119,83,150,circle
1790088176.0398676,440,-194,4353,114,50,116,circle
1790088176.0498047,441,-208,4331,125,11,54,circle
1790088176.060134,450,-145,4371,137,-26,-15,circle
1790088176.069796,514,-82,4396,128,-59,-92,circle
1790088176.079905,553,-62,4417,106,-75,-109,circle
1790088176.089809,514,-103,4410,83,-78,-75,circle
1790088176.0998678,553,-26,4406,57,-95,-75,circle
1790088176.1098218,546,59,4414,49,-98,-29,circle
1790088176.1196873,586,44,4432,29,-110,-26,circle
1790088176.1296098,611,77,4442,5,-124,-60,circle
1790088176.1400893,627,85,4438,-20,-132,-61,circle
1790088176.1498108,602,73,4445,-49,-138,-61,circle
1790088176.1600995,716,80,4487,-85,-157,-136,circle
1790088176.1700416,735,63,4540,-106,-151,-155,circle
1790088176.180327,683,106,4574,-119,-129,-157,circle
1790088176.1900685,735,21,4595,-135,-119,-178,circle
1790088176.20037,724,-179,4583,-95,-90,-159,circle
1790088176.210051,765,-79,4601,-25,-69,-204,circle
1790088176.2201605,788,-47,4580,-47,-50,-162,circle
1790088176.2300508,746,-146,4547,-47,-10,-14,circle
1790088176.239732,731,-224,4513,-6,17,45,circle
1790088176.2497354,775,-122,4500,37,25,18,circle
1790088176.2595694,681,23,4492,44,43,26,circle
1790088176.2694116,624,1,4507,19,46,37,circle
1790088176.279706,589,-114,4466,19,43,39,circle
1790088176.2895923,610,-104,4458,48,40,8,circle
1790088176.299594,626,55,4484,49,26,-35,circle
1790088176.3096,620,22,4470,16,12,-18,circle
1790088176.3196974,624,-106,4439,-6,6,-10,circle
1790088176.329599,666,-88,4420,-8,-3,-40,circle
1790088176.3398702,625,-53,4413,-15,-6,-35,circle
1790088176.349941,563,21,4403,-45,-22,-58,circle
1790088176.3599706,549,-26,4394,-70,-42,-64,circle
1790088176.3700285,524,-102,4387,-70,-54,-36,circle
1790088176.3798919,519,-66,4406,-79,-73,-48,circle
1790088176.3901405,517,-8,4472,-93,-100,-106,circle
1790088176.4000847,653,91,4452,-105,-124,-135,circle
1790088176.4104183,677,199,4366,-123,-117,-198,circle
1790088176.4202516,643,261,4432,-128,-160,-386,circle
1790088176.4304328,509,228,4383,-125,-204,-466,circle
1790088176.440274,841,-154,4551,-139,-246,-491,circle
1790088176.4502623,809,-125,4688,-60,-195,-495,circle
1790088176.4601893,866,-154,4721,3,-143,-375,circle
1790088176.4702165,909,-125,4754,-18,-95,-253,circle
1790088176.4802165,966,-230,4615,-51,-34,-17,circle
1790088176.4899743,713,-294,4608,-46,46,206,circle
1790088176.5000715,773,-287,4560,-29,44,251,circle
