timestamp,ax,ay,az,gx,gy,gz,label
1790002683.4221776,-4116,1327,2678,3137,-5722,-665,shake
1790002683.4320421,-2758,942,2506,3296,-6131,-676,shake
1790002683.442316,-2897,2816,4131,3570,-5845,-1518,shake
1790002683.4520035,-3245,2970,3111,3521,-6479,102,shake
1790002683.4623902,103,2043,2014,2984,-7803,472,shake
1790002683.4719865,2373,2597,1975,2716,-7146,-599,shake
1790002683.4821036,2698,3751,2696,2415,-5222,-1359,shake
1790002683.4922154,3438,3764,2906,1637,-3769,-1382,shake
1790002683.502065,3608,3978,3666,602,-2391,-1563,shake
1790002683.512151,3824,3085,3062,-350,-1248,-1236,shake
1790002683.522046,3146,3055,3521,-885,-142,-1101,shake
1790002683.531022,3075,1993,3340,-1026,312,-588,shake
1790002683.5424092,3305,2175,3838,-704,501,-359,shake
1790002683.5522318,4757,2246,2998,-533,594,-325,shake
1790002683.561287,5651,3479,2525,-813,1707,-808,shake
1790002683.572123,4435,3229,2475,-1705,3728,-623,shake
1790002683.5820153,2462,2274,2608,-2409,5516,-138,shake
1790002683.59206,23,3004,3525,-2635,6476,49,shake
1790002683.6022346,-1028,1671,2922,-2741,6344,1008,shake
1790002683.6112888,-1958,902,2030,-2556,6479,929,shake
1790002683.621998,-4608,1805,3827,-2477,6624,490,shake
1790002683.6320903,-5891,503,4361,-2227,5017,2052,shake
1790002683.6419969,-5539,372,3794,-1637,2770,2291,shake
1790002683.651038,-4211,980,3151,-948,1143,2134,shake
1790002683.661258,-2435,1342,1219,-683,900,1611,shake
1790002683.6710167,-2814,1379,1500,-911,2270,902,shake
1790002683.6821427,-6055,746,2057,-1191,3459,1247,shake
1790002683.6922467,-6998,-1466,3151,-1045,2606,1408,shake
1790002683.702077,-7091,230,2030,-41,1003,624,shake
1790002683.7121859,-5559,533,1943,317,-255,-117,shake
1790002683.7222097,-6559,183,2428,306,-452,51,shake
1790002683.7323573,-7530,127,2878,558,-1320,-4,shake
1790002683.7420979,-6298,-434,2492,1150,-3171,-13,shake
1790002683.7522025,-4347,-179,2201,2096,-4561,-278,shake
1790002683.7621198,-3530,1473,2447,2924,-4876,-743,shake
1790002683.7721958,-3443,1833,2638,3130,-4904,-436,shake
1790002683.782111,-2678,1848,2529,3197,-5197,-287,shake
1790002683.7921977,-1822,2947,3702,3327,-5346,-590,shake
1790002683.802067,-1977,3620,3101,3201,-5691,588,shake
