timestamp,ax,ay,az,gx,gy,gz,label
1790002340.5968993,1135,-370,1728,-2653,-3245,-1274,wave
1790002340.6071737,1291,-1387,1271,-2906,-3140,-1160,wave
1790002340.6170294,2244,-1707,406,-2957,-3266,-1306,wave
1790002340.626911,2933,-2666,388,-3000,-2897,-1512,wave
1790002340.6370404,3294,-2948,297,-2421,-2533,-1383,wave
1790002340.646981,4509,-3021,411,-1965,-2301,-1462,wave
1790002340.6570692,5007,-3219,517,-1666,-1795,-1191,wave
1790002340.6669157,5002,-3277,599,-1339,-1043,-1043,wave
1790002340.6756868,4353,-3509,1227,-842,-62,-823,wave
1790002340.6870508,4300,-3488,1460,-616,46,-654,wave
1790002340.695941,3962,-3444,1590,-421,150,-418,wave
1790002340.7056828,3674,-3405,1664,-240,196,-236,wave
1790002340.7170227,3707,-3333,1685,-71,180,-78,wave
1790002340.7264817,3703,-3298,1682,90,192,86,wave
1790002340.7367551,3720,-3300,1661,241,247,254,wave
1790002340.746844,3855,-3338,1549,408,321,409,wave
1790002340.7569923,3982,-3362,1408,605,466,567,wave
1790002340.7670302,3879,-3281,1430,831,710,719,wave
1790002340.77719,3640,-3102,1515,1054,966,864,wave
1790002340.7856662,3413,-2780,1633,1256,1197,964,wave
1790002340.7967987,3183,-2524,1765,1406,1383,1067,wave
1790002340.8067076,3080,-2359,1727,1521,1480,1175,wave
1790002340.8168378,2869,-2274,1620,1625,1554,1294,wave
1790002340.826731,2730,-2231,1446,1733,1580,1407,wave
1790002340.8368304,2758,-2199,1218,1872,1571,1505,wave
1790002340.8467164,2717,-2129,1077,2047,1591,1627,wave
1790002340.8559215,2785,-2012,895,2248,1633,1744,wave
1790002340.8659065,2695,-1629,878,2470,1797,1845,wave
1790002340.8767977,2756,-1203,1065,2614,2126,1951,wave
1790002340.886718,2413,-1145,1041,2916,2630,2205,wave
1790002340.8959084,1411,-151,1594,3253,3390,2109,wave
1790002340.906826,623,-33,2055,3347,3777,2262,wave
1790002340.916959,45,590,2354,3381,3887,2117,wave
1790002340.9258406,-1280,954,2808,3247,4109,1939,wave
1790002340.9367905,-1933,1167,3164,3091,4004,1669,wave
1790002340.9467077,-1668,1241,3257,2943,3662,1399,wave
1790002340.9567695,-1598,1272,3439,2791,3521,1189,wave
1790002340.9666946,-2008,1423,3703,2620,3531,1024,wave
1790002340.9756758,-2630,1674,4090,2402,3544,841,wave
1790002340.9856918,-3269,1891,4512,2116,3454,656,wave
1790002340.9957933,-3716,2088,4880,1773,3266,488,wave
1790002341.0056992,-4216,2198,5113,1376,3066,357,wave
1790002341.0169368,-4796,2146,5303,955,2844,237,wave
1790002341.0268342,-5134,2032,5307,553,2528,75,wave
1790002341.0369434,-5608,1933,5557,206,2221,-80,wave
1790002341.0458362,-5478,1952,5422,-49,1873,-276,wave
1790002341.0567882,-6105,1883,5723,-309,1831,-431,wave
1790002341.0666833,-6262,1765,5948,-608,1571,-612,wave
1790002341.0767372,-6336,1728,6146,-836,1185,-764,wave
1790002341.085881,-6674,1580,6347,-955,750,-746,wave
1790002341.0958767,-6633,1504,6320,-982,124,-764,wave
1790002341.106855,-6398,1314,6241,-1000,-541,-768,wave
1790002341.116974,-5963,1153,6076,-1022,-1184,-781,wave
1790002341.1270046,-5390,1005,5893,-1005,-1708,-803,wave
1790002341.1367502,-4874,867,5751,-939,-2127,-774,wave
1790002341.1468434,-4196,752,5482,-874,-2512,-761,wave
1790002341.1567147,-3735,671,5386,-839,-2731,-785,wave
1790002341.166817,-3175,579,5142,-837,-2845,-837,wave
1790002341.1767302,-2875,555,5047,-852,-2809,-908,wave
1790002341.186848,-2541,530,4982,-903,-2756,-996,wave
1790002341.1969402,-2290,548,4938,-953,-2724,-1050,wave
1790002341.2070475,-2031,559,4831,-1021,-2680,-1094,wave
1790002341.2169259,-1695,615,4737,-1131,-2597,-1194,wave
1790002341.226996,-1390,578,4713,-1276,-2480,-1251,wave
1790002341.2369144,-966,545,4493,-1404,-2372,-1271,wave
1790002341.2468376,-773,462,4278,-1538,-2163,-1252,wave
1790002341.2568746,-761,217,4183,-1685,-1953,-1214,wave
1790002341.266835,-528,106,4133,-1755,-1915,-1225,wave
1790002341.2769592,-424,172,4082,-1773,-1952,-1177,wave
1790002341.2868397,-232,153,3933,-1815,-2055,-1077,wave
1790002341.2959378,-196,92,3719,-1853,-2105,-964,wave
1790002341.3067582,-468,-27,3600,-1997,-2302,-873,wave
1790002341.3170345,32,-8,3325,-2252,-2705,-1139,wave
1790002341.3259046,292,14,2792,-2474,-2543,-1555,wave
1790002341.3369148,252,-671,2421,-2763,-2616,-1468,wave
1790002341.3469782,1152,-481,1811,-2924,-3087,-1599,wave
1790002341.3570817,1949,-1274,1466,-3236,-3082,-1624,wave
1790002341.366989,1386,-1848,1013,-2909,-2800,-1260,wave
1790002341.3769512,2750,-2209,575,-2447,-3106,-1172,wave
1790002341.3870156,4006,-2770,-122,-2268,-3053,-1049,wave
1790002341.3969188,4349,-3356,-555,-1981,-2423,-805,wave
1790002341.406968,4348,-3678,-689,-1644,-1733,-746,wave
1790002341.41691,4427,-3778,-536,-1279,-1248,-711,wave
1790002341.42677,4712,-3478,-243,-898,-949,-692,wave
1790002341.4370139,4726,-3213,83,-598,-604,-539,wave
1790002341.4457111,4509,-3142,224,-382,-242,-337,wave
1790002341.45697,4150,-3304,292,-201,55,-141,wave
1790002341.4665005,4028,-3416,306,-4,209,8,wave
1790002341.4767385,3914,-3586,293,218,285,193,wave
1790002341.48683,3949,-3739,262,489,348,372,wave
1790002341.4968214,3899,-3746,372,794,480,552,wave
1790002341.507062,3833,-3606,597,1117,581,750,wave
1790002341.516932,3812,-3371,809,1432,676,940,wave
1790002341.5256932,3613,-3136,1048,1706,882,1149,wave
1790002341.5368278,3465,-2864,1220,1973,1079,1305,wave
1790002341.5467439,3350,-2495,1407,2197,1270,1430,wave
1790002341.5568233,3086,-2203,1592,2369,1498,1566,wave
1790002341.5667057,3058,-2060,1654,2517,1648,1670,wave
1790002341.576799,3016,-1772,1587,2688,1844,1738,wave
1790002341.5867114,2616,-1490,1760,2839,2164,1857,wave
1790002341.5967968,2651,-1050,1615,2997,2389,1980,wave
1790002341.6057045,2367,-937,1634,3273,2826,2174,wave
1790002341.615704,1514,-360,1469,3666,3462,2277,wave
1790002341.6269991,721,353,2179,3906,4019,2198,wave
1790002341.636937,-50,744,2658,3814,4293,2130,wave
1790002341.6459005,-591,1125,2910,3591,4376,1938,wave
1790002341.656785,-1640,1297,3083,3405,4595,1752,wave
1790002341.6666985,-2908,1563,3428,3279,4714,1473,wave
