timestamp,ax,ay,az,gx,gy,gz,label
1790087651.217294,-1908,-898,4025,-598,-2532,213,figure8
1790087651.2273614,-1758,-895,3906,-757,-2687,321,figure8
1790087651.237472,-1751,-1000,3814,-871,-2806,530,figure8
1790087651.2474134,-1377,-1454,3680,-956,-2985,695,figure8
1790087651.2574918,-1295,-1601,3638,-941,-3094,757,figure8
1790087651.2673864,-1025,-1818,3491,-938,-3320,880,figure8
1790087651.2772815,-582,-1854,3119,-867,-3589,874,figure8
1790087651.2873647,-543,-1735,2958,-817,-3716,970,figure8
1790087651.297492,-571,-1841,2876,-820,-3971,1247,figure8
1790087651.3073852,-173,-1838,2691,-813,-4349,1372,figure8
1790087651.3173091,172,-1850,2423,-812,-4618,1362,figure8
1790087651.3273835,549,-1906,2202,-855,-4774,1276,figure8
1790087651.3373144,842,-2129,2090,-907,-4812,1242,figure8
1790087651.3474097,1159,-2407,2143,-917,-4745,1165,figure8
1790087651.3574824,1675,-2700,2102,-836,-4608,1152,figure8
1790087651.367381,2464,-2875,2021,-674,-4356,1108,figure8
1790087651.3774774,3528,-2987,1810,-477,-3898,1017,figure8
1790087651.3873694,4491,-2921,1740,-264,-3122,959,figure8
1790087651.397284,4664,-2925,1896,-113,-2093,979,figure8
1790087651.4064193,4221,-2835,2267,54,-1221,1057,figure8
1790087651.4176342,3621,-2754,2579,173,-745,972,figure8
1790087651.4275334,2936,-2597,2791,265,-639,897,figure8
1790087651.4375947,2454,-2337,2787,246,-745,747,figure8
1790087651.4475212,2168,-2154,2754,143,-934,664,figure8
1790087651.457415,1939,-2004,2755,8,-1057,586,figure8
1790087651.4674625,1904,-1914,2733,-143,-1104,509,figure8
1790087651.4764848,2021,-2002,2936,-437,-858,455,figure8
1790087651.4864774,2140,-2199,3045,-526,-631,463,figure8
1790087651.4965029,2152,-2472,3253,-559,-387,494,figure8
1790087651.506527,2283,-2702,3428,-532,-231,476,figure8
1790087651.5163314,2373,-2816,3531,-469,-107,419,figure8
1790087651.5273564,2450,-2855,3531,-390,4,341,figure8
1790087651.5376184,2441,-2822,3561,-304,105,313,figure8
1790087651.5476665,2478,-2730,3522,-238,196,246,figure8
1790087651.5576253,2388,-2647,3528,-198,315,145,figure8
1790087651.567553,2297,-2553,3462,-174,416,59,figure8
1790087651.5774517,2093,-2464,3500,-174,503,-19,figure8
1790087651.5877063,1809,-2441,3635,-194,563,-79,figure8
1790087651.5965028,1773,-2427,3689,-199,513,-133,figure8
1790087651.606605,1774,-2412,3760,-176,478,-166,figure8
1790087651.616522,1733,-2411,3821,-123,472,-150,figure8
1790087651.6275513,1652,-2412,3846,-49,470,-132,figure8
1790087651.6376376,1654,-2382,3842,25,425,-132,figure8
1790087651.6473553,1761,-2315,3755,84,350,-144,figure8
1790087651.65765,1778,-2295,3718,125,299,-111,figure8
1790087651.6677964,1839,-2232,3634,142,255,-125,figure8
1790087651.6774614,1822,-2124,3538,138,215,-141,figure8
1790087651.6873517,1797,-2003,3400,141,151,27,figure8
1790087651.6972609,1514,-1984,3453,98,159,126,figure8
1790087651.707342,1377,-1919,3424,47,86,135,figure8
1790087651.7172792,1430,-1909,3332,-7,-32,165,figure8
1790087651.7277727,1454,-1947,3274,-51,-112,222,figure8
1790087651.7376573,1531,-2006,3189,-97,-156,248,figure8
1790087651.746513,1449,-2120,3247,-129,-157,284,figure8
1790087651.7565486,1524,-2175,3183,-140,-239,318,figure8
1790087651.76637,1378,-2240,3154,-132,-349,415,figure8
1790087651.7765267,1481,-2211,3003,-102,-559,525,figure8
1790087651.7865548,1495,-2143,2743,-116,-731,607,figure8
1790087651.7965367,1480,-2033,2487,-161,-868,825,figure8
1790087651.8065507,1397,-1724,2185,-339,-942,943,figure8
1790087651.8173199,965,-1715,1998,-615,-1137,1087,figure8
1790087651.8274615,1836,-1515,1342,-935,-1503,948,figure8
1790087651.8373692,2396,-1531,724,-1395,-1417,735,figure8
1790087651.8474646,3241,-1950,193,-1958,-1024,380,figure8
1790087651.8572874,3591,-2507,89,-2474,-297,3,figure8
1790087651.8663604,3924,-3407,198,-2954,290,-384,figure8
1790087651.8774662,4559,-4078,43,-3212,801,-773,figure8
1790087651.8876288,4718,-4700,-364,-3387,1528,-1171,figure8
1790087651.897587,4182,-5079,-490,-3386,2399,-1840,figure8
1790087651.9076693,3394,-4879,-503,-3342,3371,-2511,figure8
1790087651.9175315,2641,-4566,-276,-3332,4225,-2766,figure8
1790087651.927665,2024,-4807,-304,-3499,4994,-2774,figure8
1790087651.9375372,1044,-4876,-142,-3545,5798,-2734,figure8
1790087651.9474964,-553,-4657,544,-3425,6555,-2644,figure8
1790087651.9577813,-2513,-4502,1844,-3186,7025,-2367,figure8
1790087651.967713,-4275,-4630,3644,-2811,6888,-1942,figure8
1790087651.9777186,-4673,-4177,4676,-2228,5939,-1386,figure8
1790087651.9876652,-4354,-3796,5011,-1641,4779,-647,figure8
1790087651.9973447,-3745,-3298,5073,-1192,3747,49,figure8
1790087652.0074577,-2820,-2817,4607,-904,2824,584,figure8
1790087652.0173478,-2398,-2616,4155,-820,2258,948,figure8
1790087652.0275133,-1759,-2258,3968,-810,1849,1156,figure8
1790087652.0375383,-2416,-2335,4336,-957,1579,1355,figure8
1790087652.047491,-2389,-2069,4448,-1092,787,1230,figure8
1790087652.0563297,-2631,-2097,4692,-1261,4,1069,figure8
1790087652.0675092,-2312,-2023,4908,-1373,-893,888,figure8
1790087652.077573,-1946,-2243,4691,-1467,-1342,857,figure8
1790087652.0876932,-1702,-2499,4531,-1420,-1667,1012,figure8
1790087652.0975916,-743,-3032,4113,-1303,-2125,1178,figure8
1790087652.107477,605,-3723,3554,-1102,-2360,1388,figure8
1790087652.1175346,1830,-4301,3400,-771,-2289,1538,figure8
1790087652.1275017,3027,-4868,3846,-433,-1986,1599,figure8
1790087652.1373541,3205,-5941,3752,-52,-1201,1545,figure8
1790087652.146536,3925,-6040,4006,704,-901,1069,figure8
1790087652.1565266,3577,-6323,4269,1233,-623,551,figure8
1790087652.167586,3339,-6142,3973,1723,-390,22,figure8
1790087652.177362,2755,-5957,3961,2175,-322,-336,figure8
1790087652.18745,1962,-5988,4358,2619,-262,-582,figure8
1790087652.197351,1819,-5629,4785,3144,-280,-650,figure8
1790087652.2074533,1549,-5234,4711,3598,-109,-314,figure8
1790087652.21755,1203,-4495,4574,3981,267,19,figure8
1790087652.2274375,973,-3645,4125,4146,845,292,figure8
1790087652.2375233,300,-2894,4121,4165,1493,789,figure8
1790087652.2474678,-236,-2524,3538,3961,1800,1157,figure8
1790087652.2576067,-1053,-2158,3548,3738,1832,1456,figure8
1790087652.267473,-1568,-2101,3436,3440,1528,1879,figure8
1790087652.2776134,-1618,-2244,4008,3141,1008,2380,figure8
1790087652.2865345,-990,-2585,4534,2860,540,2641,figure8
1790087652.2965357,-682,-2706,4527,2606,300,2643,figure8
1790087652.307791,-283,-3106,5212,2521,79,2840,figure8
1790087652.3176842,491,-3240,5057,2470,48,2656,figure8
1790087652.327776,1573,-3325,4857,2460,67,2495,figure8
1790087652.336466,2216,-3285,4447,2520,401,2186,figure8
1790087652.3465695,2816,-3084,4083,2601,731,1813,figure8
1790087652.3573666,3421,-3153,3940,2621,1048,1412,figure8
1790087652.3674548,3387,-3396,4284,2640,1518,1100,figure8
1790087652.376321,3880,-3544,3947,2755,1884,807,figure8
1790087652.3865318,4230,-3568,3511,2851,2404,459,figure8
1790087652.3963556,3720,-3560,3639,2782,3120,-54,figure8
1790087652.4073203,2821,-3692,3847,2668,3643,-556,figure8
1790087652.4174747,2158,-3737,4084,2713,3937,-958,figure8
1790087652.4273193,475,-3494,4802,2802,4427,-1288,figure8
1790087652.4374714,-426,-2984,4835,2767,4543,-1514,figure8
1790087652.4475245,-896,-2381,4269,2827,4329,-1442,figure8
1790087652.4576583,-1405,-1476,3604,2728,4055,-1508,figure8
1790087652.4675245,-2762,-1004,3280,2313,3740,-1680,figure8
1790087652.4774742,-4106,-685,3214,1866,2878,-1891,figure8
1790087652.487533,-5504,-453,3417,1374,1675,-1957,figure8
