timestamp,ax,ay,az,gx,gy,gz,label
1790088876.5448453,415,437,4576,-23,8,-4,figure8
1790088876.5548184,506,445,4528,-14,21,19,figure8
1790088876.5648904,609,505,4553,-9,45,32,figure8
1790088876.5749145,650,568,4527,-4,85,40,figure8
1790088876.5850604,652,616,4504,-1,115,51,figure8
1790088876.5947485,660,748,4553,0,143,44,figure8
1790088876.6050425,693,965,4626,-10,175,11,figure8
1790088876.6151133,697,1311,4764,-39,228,-48,figure8
1790088876.6255732,680,1716,4913,-104,299,-145,figure8
1790088876.6353395,562,2163,4988,-209,394,-290,figure8
1790088876.645373,357,2506,5063,-365,489,-435,figure8
1790088876.6552877,191,2656,4934,-564,530,-563,figure8
1790088876.6653378,-31,2579,4815,-808,546,-690,figure8
1790088876.6756496,-182,2651,4677,-998,528,-776,figure8
1790088876.6842036,-235,2452,4494,-1180,474,-784,figure8
1790088876.6942375,-295,2233,4353,-1333,373,-806,figure8
1790088876.7044978,-170,2150,4273,-1456,230,-836,figure8
1790088876.715418,-100,1944,4174,-1558,96,-834,figure8
1790088876.7257304,109,1824,4151,-1646,-46,-853,figure8
1790088876.7344778,257,1704,4153,-1754,-151,-839,figure8
1790088876.7441976,418,1581,4077,-1868,-242,-797,figure8
1790088876.7542143,476,1460,4062,-1981,-300,-767,figure8
1790088876.7644887,567,1280,3929,-2108,-366,-768,figure8
1790088876.7755964,677,861,3763,-2226,-411,-784,figure8
1790088876.78567,747,366,3599,-2303,-453,-805,figure8
1790088876.7942426,932,-187,3366,-2337,-523,-814,figure8
1790088876.805283,1072,-783,3147,-2313,-564,-802,figure8
1790088876.815397,1208,-1307,2896,-2247,-598,-763,figure8
1790088876.8255064,1655,-1954,2762,-2129,-635,-683,figure8
1790088876.8353944,1681,-2256,2774,-1842,-510,-650,figure8
1790088876.8454788,1780,-2471,2717,-1546,-357,-678,figure8
1790088876.8553514,1162,-2738,2227,-1311,-224,-591,figure8
1790088876.865417,1457,-2170,3740,-1234,-246,-998,figure8
1790088876.875551,1217,-2611,2931,-1120,-247,-1098,figure8
1790088876.885451,656,-2800,3021,-1189,-127,-1009,figure8
1790088876.8953476,974,-3050,3057,-1273,-250,-1026,figure8
1790088876.905222,661,-3338,2990,-1186,-302,-925,figure8
1790088876.915293,916,-3428,2968,-1019,-397,-915,figure8
1790088876.9243324,989,-3547,3089,-919,-479,-789,figure8
1790088876.9352791,1111,-3723,3026,-817,-590,-572,figure8
1790088876.944245,875,-3589,3173,-563,-574,-438,figure8
1790088876.9542532,835,-3402,3318,-298,-593,-362,figure8
1790088876.9656646,681,-3221,3427,-49,-654,-238,figure8
1790088876.9753933,914,-3152,3411,125,-795,-155,figure8
1790088876.9855237,1108,-3294,3197,250,-837,-69,figure8
1790088876.9954479,1190,-3650,2945,399,-733,25,figure8
1790088877.0054305,1394,-4025,2739,621,-634,39,figure8
1790088877.015521,1933,-4660,2437,913,-551,100,figure8
1790088877.024424,2186,-4905,2376,1362,-325,174,figure8
1790088877.0344193,2225,-4640,2429,1992,-101,264,figure8
1790088877.0455365,2285,-4031,2417,2687,-14,535,figure8
1790088877.0555193,2307,-2686,2917,3349,60,801,figure8
1790088877.0644438,2471,-1331,3431,3797,127,1110,figure8
1790088877.0756607,2465,-130,3842,4014,247,1273,figure8
1790088877.085571,1951,780,3874,3943,350,1458,figure8
1790088877.0955293,1677,988,3453,3798,292,1765,figure8
1790088877.1054423,1317,1326,3266,3839,276,1913,figure8
1790088877.1155832,1028,1788,3245,3899,235,1847,figure8
1790088877.1256328,1303,2544,3120,3944,147,1715,figure8
1790088877.135566,967,2967,3246,3946,236,1819,figure8
1790088877.1453948,1006,3486,3335,3910,208,1700,figure8
1790088877.1554863,783,3973,3423,3830,204,1567,figure8
1790088877.1655643,635,4345,3487,3728,155,1419,figure8
1790088877.1752737,248,4647,3513,3555,159,1069,figure8
1790088877.1852229,-99,4794,3428,3344,151,658,figure8
1790088877.1955013,-128,4793,3299,3184,115,273,figure8
1790088877.2056081,-399,4916,3552,3046,172,-110,figure8
1790088877.215671,-485,5286,3795,2909,101,-474,figure8
1790088877.225573,-565,5694,4017,2748,-47,-709,figure8
1790088877.2342508,-396,5994,4284,2525,-245,-902,figure8
1790088877.245364,-158,6305,4556,2202,-462,-1063,figure8
1790088877.2542386,200,6477,4719,1707,-691,-1148,figure8
1790088877.2642307,755,6133,4949,1167,-931,-1055,figure8
1790088877.2754095,756,6118,4785,668,-1023,-972,figure8
1790088877.2853694,242,6113,4808,49,-979,-986,figure8
1790088877.2952802,166,6109,4784,-517,-1098,-1024,figure8
1790088877.3053665,243,5967,4658,-1088,-1227,-1076,figure8
1790088877.3154383,322,5422,4452,-1660,-1277,-1176,figure8
1790088877.3253481,503,4214,4056,-2484,-1250,-1689,figure8
1790088877.3354573,611,3407,4039,-2749,-1193,-1890,figure8
1790088877.3453727,842,2673,4021,-2910,-1206,-2036,figure8
1790088877.3554313,1031,1755,4091,-3017,-1227,-2169,figure8
1790088877.3655455,1316,1163,4211,-3077,-1244,-2477,figure8
1790088877.3753982,1791,491,4396,-3097,-1322,-2633,figure8
1790088877.3855171,2367,-664,4524,-3006,-1337,-2623,figure8
1790088877.3955863,3094,-1970,4751,-2754,-1221,-2546,figure8
1790088877.4055226,3529,-3023,4978,-2342,-950,-2419,figure8
1790088877.4155736,3718,-3515,5247,-1779,-504,-2227,figure8
1790088877.4242847,3772,-3552,5509,-1201,1,-1993,figure8
1790088877.4353719,3231,-3252,5779,-724,620,-1639,figure8
1790088877.4454825,2695,-2891,5820,-507,1098,-1308,figure8
1790088877.4553401,2069,-2595,5473,-301,1311,-909,figure8
1790088877.4652622,1602,-2601,5512,-274,1289,-633,figure8
1790088877.47535,1793,-2492,5099,-219,1137,-485,figure8
1790088877.4842525,1606,-1976,5292,-42,1204,-286,figure8
1790088877.4954324,1850,-1795,5545,-8,1111,21,figure8
1790088877.5055308,2042,-1629,5458,14,1052,407,figure8
1790088877.5154803,2045,-1539,5271,55,1113,792,figure8
1790088877.5242276,2020,-1489,4906,160,1205,1103,figure8
1790088877.5344005,1757,-1415,4639,269,1285,1431,figure8
1790088877.544254,1582,-1289,4581,389,1233,1790,figure8
1790088877.5542445,1582,-1091,4022,596,1008,2124,figure8
1790088877.5655065,1134,-403,4224,695,954,2261,figure8
1790088877.5754488,961,-88,4403,663,780,2473,figure8
1790088877.5853682,1328,116,4386,522,486,2475,figure8
1790088877.5954669,1292,227,4038,273,411,2560,figure8
1790088877.6051018,1396,211,4036,45,267,2757,figure8
1790088877.6151896,1813,311,3679,144,68,2960,figure8
1790088877.625481,2295,1360,4626,569,96,3227,figure8
1790088877.6354032,2596,2711,5001,666,518,3272,figure8
1790088877.645484,1637,4323,5644,151,1574,3076,figure8
1790088877.6556177,278,4479,5039,-976,2606,2859,figure8
1790088877.6653605,-1021,4194,5029,-1353,3039,2842,figure8
1790088877.67542,-1153,4053,4036,-1722,2971,2562,figure8
1790088877.6853428,-2099,3816,3398,-1835,2994,2289,figure8
1790088877.6954226,-1940,3339,3590,-1893,2585,1699,figure8
1790088877.7055318,-1781,3407,3646,-1721,2227,1246,figure8
1790088877.7152345,-1476,3458,3858,-1558,1972,919,figure8
1790088877.7242272,-889,3190,4003,-1533,1845,583,figure8
1790088877.7342296,-822,3610,4518,-1390,2095,331,figure8
1790088877.744536,-782,3519,4824,-1393,2176,245,figure8
1790088877.754529,-615,3471,4958,-1473,2001,127,figure8
1790088877.7656293,-594,3029,4695,-1700,1695,56,figure8
1790088877.7742548,-551,2728,4465,-1860,1234,-84,figure8
1790088877.7842443,-727,2394,4286,-2057,771,-255,figure8
1790088877.7945042,-370,1734,3997,-2312,171,-465,figure8
1790088877.8052635,-244,1473,3759,-2219,-338,-511,figure8
1790088877.815354,-347,1176,3715,-2088,-596,-569,figure8
1790088877.824227,-123,705,3550,-1979,-888,-705,figure8
1790088877.8345141,344,424,3449,-1757,-1090,-782,figure8
1790088877.8444326,481,111,3372,-1520,-1075,-778,figure8
1790088877.855337,581,-206,3329,-1278,-1042,-753,figure8
1790088877.8652399,508,-506,3454,-1105,-1085,-709,figure8
1790088877.8744607,832,-747,2849,-848,-1379,-624,figure8
1790088877.8843641,688,-970,3289,-488,-1420,-540,figure8
1790088877.8942342,591,-715,3384,-152,-1484,-424,figure8
1790088877.9053369,711,-507,3661,85,-1489,-365,figure8
1790088877.9154294,711,-435,3937,110,-1352,-270,figure8
1790088877.9255865,697,-362,4125,40,-1171,-215,figure8
1790088877.93424,781,-482,4154,-116,-1018,-222,figure8
1790088877.9457119,671,-612,4136,-232,-819,-216,figure8
1790088877.95564,465,-811,4131,-301,-627,-210,figure8
1790088877.9657488,454,-927,4094,-311,-532,-252,figure8
1790088877.9743812,490,-1012,4181,-300,-453,-301,figure8
1790088877.9842572,617,-1179,4172,-292,-425,-341,figure8
1790088877.994375,741,-1328,4112,-261,-399,-371,figure8
1790088878.0043995,855,-1364,4178,-204,-362,-373,figure8
1790088878.0142462,818,-1414,4217,-175,-338,-314,figure8
1790088878.0242841,827,-1361,4250,-160,-327,-259,figure8
1790088878.03442,741,-1367,4299,-168,-307,-200,figure8
1790088878.0444434,672,-1380,4272,-185,-307,-158,figure8
1790088878.054258,618,-1468,4240,-200,-311,-131,figure8
1790088878.064407,551,-1499,4100,-183,-330,-129,figure8
1790088878.0742419,611,-1453,4038,-134,-363,-143,figure8
1790088878.0855734,518,-1379,4047,-53,-323,-182,figure8
1790088878.0955238,315,-1202,4125,38,-251,-254,figure8
1790088878.1051922,413,-904,4224,98,-231,-348,figure8
1790088878.115483,435,-717,4396,106,-173,-348,figure8
1790088878.1253796,324,-682,4440,77,-91,-318,figure8
1790088878.1352687,333,-742,4370,43,-80,-314,figure8
1790088878.145222,492,-794,4341,24,-102,-311,figure8
1790088878.1553526,523,-741,4331,31,-56,-262,figure8
1790088878.1652107,357,-781,4354,33,32,-187,figure8
1790088878.1753032,322,-778,4348,45,31,-160,figure8
1790088878.1851308,272,-697,4391,64,5,-128,figure8
1790088878.195286,260,-567,4448,79,-49,-91,figure8
1790088878.2052927,228,-438,4485,82,-91,-53,figure8
1790088878.2152863,166,-417,4490,63,-119,-22,figure8
1790088878.2253087,206,-409,4488,35,-179,-31,figure8
1790088878.2351956,344,-391,4553,22,-254,-58,figure8
1790088878.2453344,403,-406,4564,11,-278,-74,figure8
1790088878.2551582,375,-501,4568,-11,-262,-81,figure8
1790088878.2654662,436,-591,4552,-29,-285,-111,figure8
1790088878.2753499,488,-652,4560,-30,-320,-113,figure8
1790088878.2852392,576,-599,4558,-14,-340,-98,figure8
1790088878.2953446,623,-560,4504,-23,-305,-41,figure8
1790088878.305429,712,-619,4440,-30,-328,-44,figure8
1790088878.315318,798,-629,4407,-9,-330,-47,figure8
1790088878.3253965,794,-591,4403,23,-287,-32,figure8
1790088878.3353338,796,-564,4447,49,-248,-34,figure8
1790088878.345853,778,-518,4377,84,-230,-38,figure8
1790088878.355536,769,-494,4598,110,-196,-82,figure8
1790088878.3654382,872,-490,4505,126,-181,-84,figure8
1790088878.3755345,868,-498,4443,133,-121,-92,figure8
1790088878.3852441,838,-516,4391,151,-89,-109,figure8
1790088878.3955312,818,-464,4373,194,-55,-135,figure8
1790088878.4052954,720,-391,4423,242,-16,-132,figure8
1790088878.415316,617,-330,4452,276,-5,-131,figure8
1790088878.425327,568,-225,4505,281,-16,-128,figure8
1790088878.435478,518,-161,4526,261,-45,-120,figure8
1790088878.4451969,510,-141,4499,227,-93,-97,figure8
1790088878.455302,502,-168,4456,193,-148,-75,figure8
1790088878.4654057,494,-208,4476,170,-196,-64,figure8
1790088878.4753928,533,-226,4478,148,-241,-77,figure8
1790088878.4853897,561,-274,4470,121,-260,-91,figure8
1790088878.4953523,634,-294,4467,98,-262,-119,figure8
1790088878.5054832,704,-376,4434,73,-260,-146,figure8
1790088878.5153275,771,-462,4405,61,-264,-149,figure8
1790088878.5252662,831,-448,4368,68,-277,-147,figure8
1790088878.5353594,889,-464,4386,76,-293,-134,figure8
1790088878.545383,932,-411,4404,92,-298,-126,figure8
